date,kind,label,source
2024-01-11,cpi,CPI Dec 2023,bls.gov
2024-02-13,cpi,CPI Jan 2024,bls.gov
2024-03-12,cpi,CPI Feb 2024,bls.gov
2024-04-10,cpi,CPI Mar 2024,bls.gov
2024-05-15,cpi,CPI Apr 2024,bls.gov
2024-06-12,cpi,CPI May 2024,bls.gov
2024-07-11,cpi,CPI Jun 2024,bls.gov
2024-08-14,cpi,CPI Jul 2024,bls.gov
2024-09-11,cpi,CPI Aug 2024,bls.gov
2024-10-10,cpi,CPI Sep 2024,bls.gov
2024-11-13,cpi,CPI Oct 2024,bls.gov
2024-12-11,cpi,CPI Nov 2024,bls.gov
2025-01-15,cpi,CPI Dec 2024,bls.gov
2025-02-12,cpi,CPI Jan 2025,bls.gov
2025-03-12,cpi,CPI Feb 2025,bls.gov
2025-04-10,cpi,CPI Mar 2025,bls.gov
2025-05-13,cpi,CPI Apr 2025,bls.gov
2025-06-11,cpi,CPI May 2025,bls.gov
2025-07-15,cpi,CPI Jun 2025,bls.gov
2025-08-12,cpi,CPI Jul 2025,bls.gov
2025-09-11,cpi,CPI Aug 2025,bls.gov
2025-10-24,cpi,CPI Sep 2025 (delayed by the lapse in appropriations),bls.gov
2025-11-18,cpi,CPI Oct 2025 (delayed),bls.gov
2025-12-18,cpi,CPI Nov 2025,bls.gov
2026-01-13,cpi,CPI Dec 2025,bls.gov schedule
2026-02-13,cpi,CPI Jan 2026,bls.gov schedule
2026-03-11,cpi,CPI Feb 2026,bls.gov schedule
2026-04-10,cpi,CPI Mar 2026,bls.gov schedule
2026-05-12,cpi,CPI Apr 2026,bls.gov schedule
2026-06-10,cpi,CPI May 2026,bls.gov schedule
2026-07-14,cpi,CPI Jun 2026,bls.gov schedule
2026-08-12,cpi,CPI Jul 2026,bls.gov schedule
2026-09-11,cpi,CPI Aug 2026,bls.gov schedule
2026-10-14,cpi,CPI Sep 2026,bls.gov schedule
2026-11-10,cpi,CPI Oct 2026,bls.gov schedule
2026-12-10,cpi,CPI Nov 2026,bls.gov schedule
2024-01-05,nfp,Employment Situation Dec 2023,bls.gov
2024-02-02,nfp,Employment Situation Jan 2024,bls.gov
2024-03-08,nfp,Employment Situation Feb 2024,bls.gov
2024-04-05,nfp,Employment Situation Mar 2024,bls.gov
2024-05-03,nfp,Employment Situation Apr 2024,bls.gov
2024-06-07,nfp,Employment Situation May 2024,bls.gov
2024-07-05,nfp,Employment Situation Jun 2024,bls.gov
2024-08-02,nfp,Employment Situation Jul 2024,bls.gov
2024-09-06,nfp,Employment Situation Aug 2024,bls.gov
2024-10-04,nfp,Employment Situation Sep 2024,bls.gov
2024-11-01,nfp,Employment Situation Oct 2024,bls.gov
2024-12-06,nfp,Employment Situation Nov 2024,bls.gov
2025-01-10,nfp,Employment Situation Dec 2024,bls.gov
2025-02-07,nfp,Employment Situation Jan 2025,bls.gov
2025-03-07,nfp,Employment Situation Feb 2025,bls.gov
2025-04-04,nfp,Employment Situation Mar 2025,bls.gov
2025-05-02,nfp,Employment Situation Apr 2025,bls.gov
2025-06-06,nfp,Employment Situation May 2025,bls.gov
2025-07-03,nfp,Employment Situation Jun 2025,bls.gov
2025-08-01,nfp,Employment Situation Jul 2025,bls.gov
2025-09-05,nfp,Employment Situation Aug 2025,bls.gov
2025-11-20,nfp,Employment Situation Sep 2025 (delayed by the lapse in appropriations),bls.gov
2025-12-16,nfp,Employment Situation Oct and Nov 2025 (delayed),bls.gov
2026-01-09,nfp,Employment Situation Dec 2025,bls.gov schedule
2026-02-11,nfp,Employment Situation Jan 2026,bls.gov schedule
2026-03-06,nfp,Employment Situation Feb 2026,bls.gov schedule
2026-04-03,nfp,Employment Situation Mar 2026,bls.gov schedule
2026-05-08,nfp,Employment Situation Apr 2026,bls.gov schedule
2026-06-05,nfp,Employment Situation May 2026,bls.gov schedule
2026-07-02,nfp,Employment Situation Jun 2026,bls.gov schedule
2026-08-07,nfp,Employment Situation Jul 2026,bls.gov schedule
2026-09-04,nfp,Employment Situation Aug 2026,bls.gov schedule
2026-10-02,nfp,Employment Situation Sep 2026,bls.gov schedule
2026-11-06,nfp,Employment Situation Oct 2026,bls.gov schedule
2026-12-04,nfp,Employment Situation Nov 2026,bls.gov schedule
