date,kind,label,source
2024-01-31,fomc,FOMC decision,mkt.FomcCalendar
2024-03-20,fomc,FOMC decision,mkt.FomcCalendar
2024-05-01,fomc,FOMC decision,mkt.FomcCalendar
2024-06-12,fomc,FOMC decision,mkt.FomcCalendar
2024-07-31,fomc,FOMC decision,mkt.FomcCalendar
2024-09-18,fomc,FOMC decision,mkt.FomcCalendar
2024-11-07,fomc,FOMC decision,mkt.FomcCalendar
2024-12-18,fomc,FOMC decision,mkt.FomcCalendar
2025-01-29,fomc,FOMC decision,mkt.FomcCalendar
2025-03-19,fomc,FOMC decision,mkt.FomcCalendar
2025-05-07,fomc,FOMC decision,mkt.FomcCalendar
2025-06-18,fomc,FOMC decision,mkt.FomcCalendar
2025-07-30,fomc,FOMC decision,mkt.FomcCalendar
2025-09-17,fomc,FOMC decision,mkt.FomcCalendar
2025-10-29,fomc,FOMC decision,mkt.FomcCalendar
2025-12-10,fomc,FOMC decision,mkt.FomcCalendar
2026-01-28,fomc,FOMC decision,mkt.FomcCalendar
2026-03-18,fomc,FOMC decision,mkt.FomcCalendar
2026-04-29,fomc,FOMC decision,mkt.FomcCalendar
2026-06-17,fomc,FOMC decision,mkt.FomcCalendar
2026-07-29,fomc,FOMC decision,mkt.FomcCalendar
2026-09-16,fomc,FOMC decision,mkt.FomcCalendar
2026-10-28,fomc,FOMC decision,mkt.FomcCalendar
2026-12-09,fomc,FOMC decision,mkt.FomcCalendar
